"CODE INTERVENTION","No DESIGNATION","No INTERVENTION","COMMENTAIRE DE SIG","CODE RELEVE","COMMENTAIRE","BLOC NOTE","COMMLITIGEPIDI"
"IQLFTH","299568158","22728118","","RRC","# Obtenu MARCHAND CHRISTOPHE le 26/04/2023 a 11h22 le client reporte son rdv car n a pas encore termine les TVC # il va contacter orange pour fixer un nouveau rdv #","","\"
"IQCFTH","297892193","22795256","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Pto existante Brassage au niveau du pm Ont ok/DAE OK/","","\\$GM$ Un rdv a ete repris par le technicien pour le 03/05 a partir de 14h00 $APSP$ \"
"IQPFTH","297897767","22728127","","DMS","/DMS/#PTO_non existante#/Mohand ok raccordement pavillon en aerien ok pto pose au salon a la demande du client val pm-17 Val pto-18 delc ok /DAE OK/","","\\$GM$ CP Obtenu cliente le 13/04  Le client a bien compris les travaux a realiser et nous recontactera pour reprendre rdv des travaux finis.$APSM$ Poser une gaine entre l'arrivee interieure (pavillon) et l'emplacement souhaite de la prise fibre\$GM$ Obtenu clt le 13/04 au 0647628153 repris rdv le 17/04 a partir de 10h $APIL$\$GM$ CP Obtenu cliente le 17/04  Le client a bien compris les travaux a realiser et nous recontactera pour reprendre rdv des travaux finis.$APSM$ Poser une gaine entre l'arrivee interieure (pavillon) et l'emplacement souhaite de la prise fibre\$GM$ RV//  Obtenu client au 0667541606 le 06/05  a 13:05  RDV repris pour le 08/05 a partir de 14:00  $APHB$\"
"IQPFTH","223370510","22728133","","DMS","/DMS/#PTO_non existante#/Installation complete pavillon ok passage de cable souterrain ok /DAE OK/","","\"
"IQCFTH","299556603","22795271","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/PM: t te#1/A03 Decharge : J716230/DAE OK/","","\"
"IQLFTH","299001768","22795276","","DMS","/DMS/#PTO_non existante#/Installation immeuble complete ok/DAE OK/","","\"
"IQPFTH","298301395","22728157","","","","",""
"IQSFTH","296729387","22795300","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Moby HS le t est et ok le client a teins la boxe route optique ok pas pu faire arriver sur site Moby HS pas pu cl turer aussi /DAE KO/Moby HS","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\"
"IQSFTH","298070470","22795303","","DMS","/DMS/#PTO_existante#-#Malfa on PLP detect e#-#Cable non conforme#-/Reprise pto voir photo 5 /DAE OK/","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\"
"IQPFTH","296415177","22795310","","PAD","#obtenu PIAN CLAUDINE au 0686849348 le 02/05/2023 a 12:03   le clt doit annuler le rdv car l adresse correct est 122 allee du presbytere 22130 plorec sur arguenon#pas eligible#ND:0296415177#","","\"
"IQPFTH","299778795","22795311","","DMS","/DMS/#PTO_non existante#/Racc aerien 120m tout service ok pto installer au salon client satisfait /DAE OK/","","\"
"IQPFTH","223070421","22661055","","TVC","elance\\Obtenu client le 28/04 pour reprise de rdv client na a pas encore effectue ses travaux $APEP$ $GM$ CP Envoye SMS au 06 le 29/3 a 18h30 pour reprendre nouveau RDV des TVC fini + laisse mevo pour infos travaux/ $APSM$ /GEM/#LITIGE: RA-Refus passage en apparent dans les par","","\\$GM$ CP Envoye SMS au 06 le 29/3  a 18h30 pour reprendre nouveau RDV des TVC fini + laisse mevo pour infos travaux/ $APSM$ /GEM/#LITIGE: RA-Refus passage en apparent dans les parties communes#/ Bloquage cheminement pto pbo  partie privative  gaine technique inaccessible les c cble dsl ne bougent pas   La cliente est lo\$GM$$GM$ CP Envoye SMS au 06 le 29/3  a 18h30 pour reprendre nouveau RDV des TVC fini + laisse mevo pour infos travaux/ $APSM$ /GEM/#LITIGE: RA-Refus passage en apparent dans les parties communes#/ Bloquage cheminement pto pbo  partie privative  gaine technique inaccessible les c cble dsl ne bougent pas   La cliente es\\"
"IQCFTH","223449565","22795313","","ETU","CAC=Oui#GPS=#DN=#PBR=7126#PBG= ?tage 3#PBD=Appui Orange#PBT=Jaune#PBF=Turquoise#PBC=#PBP=/ETU//Immeuble precable  abonn e au 1 er tage numero d appartement 02 . . Pbo au 3 eme tage pt 7126 aucune fibre dispo la mutation /DAE NA/Non","","\\$GM$ Le tech a repris rdv avec le client pour le 05/05 a partir de 13H $APAF$  /GEM/#LITIGE: MC-Besoin binome ou materiel#/Besoin d'un kit 4 fo 30 voir 50 metres . 4 soudures a faire sur le PB pr  cabl   a pr  voir.appartement 1002 Le client est disponible demain d  s 13h. Le PB se situe au 3   me etg. Dans la gaine te\$GM$ TH /GEM/#LITIGE: MC-Besoin binome ou materiel#/Avoir repris un rendez-vous avec la cliente pour le 09 mai ou si vous le pouvez pour demain  C'est un raccordement complet kit 4fo/DAE NA/Non   ligible au DAE\\"
"IQLFTH","296947056","22795315","","RMC","Suite a plusieurs relances aucun retour de la part du clt  laisse mevo le 03/05 clt doit recontacter son operateur $APAN$ $GM$ AB Laisse MEVO le 26/04 pour reprendre nouveau RDV / $APSM$/GEM//ne repond pas au t l phone /DAE NA/Non ligible au DAE","23/04/2023#ContactClient#","\\$GM$ AB  Laisse MEVO le 26/04 pour reprendre nouveau RDV / $APSM$/GEM/#LITIGE: AB-Client absent#/ne repond pas au t  l  phone /DAE NA/Non   ligible au DAE\"
"IQCFTH","223633006","22795317","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Test ok box internet wifi ok/DAE OK/","","\\$GM$ AI  /GEM/#LITIGE: MC-Non accessibilite en autonomie au PM en immeuble#/besoin de configurer la box mobile ne fonctionne pas et la candidativit   de la GTC orange et injoignable pour faire la configuration de la box l'abonn   doit avoir un autre rendez-vous pour configurer sa box parce que c'est un d  m  nagement/D\$GM$ lo 03/05 08h05 suite rappel de Mr CHOBERT  0672022015rdv repris 05/05 matin <10h   14h> $apib$\"
"IQPFTH","223633113","22795322","","","","",""
"IQCFTH","299202532","22795330","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/PLP ok/DAE OK/","","\"
"IQPFTH","296729241","22728214","","TVC","J ai passe la ficelle de poteau jusqu a la premiere arrive sur son regard  apre la deuxieme partie de sa gaine qui part chez lui bouche. client rappellera apres realiser les travaux  dossier hors delais $APSM$","","\\$GM$ CP /GEM/#LITIGE: CP-Travaux sur conduite privative#/Client doit poser une gaine /DAE NA/Non eligible au DAE\Manque temps cliente avise Sur chat orange \$GM$ RV//  suite retour SMS   mevo ok au 0638790042 le 05/05 pour confirmation de  RDV le 08/05 a partir de 10:00 $APHB$\\"
"IQPFTH","223372408","22728225","","TVC","/TVC/#Le client a des travaux a faire mais ne souhaite pas les realiser#--/Regard enterr /DAE NA/Non ligible au DAE","","\\$GM$ besoin de materiel\$GM$ CP Un rdv a ete repris par le technicien pour le 17/04 a partir de  15H $APAB$  Rdv reprit pour le lundi 17/04 a 15h car le client doit obtenir l'autorisation du proprietaire pour le percement\$GM$ Un rdv a ete repris par le technicien pour le 25/04 a partir de 15h00 $APSP$  Intervention remis en accord avec client pour mardi 25 avril 15h \Le client absent les photos dans piece jointe \\"
"IQPFTH","298421370","22728228","","DMS","/DMS/#PTO_non existante#/Pose jrt PM branchement PB pose cable 1fo pose PTO DELC OK /DAE OK/","","\\$GM$ CP Tvc car gaine bouche ou ecrase entre regard et maison pose ficelle de poteau jusqu'au regard client va faire le necessaire et reprendre rdv laisser numero ca constructel \$GM$ Suite rappel  client ce jour le 05/05 a 09h41 prise de rdv le 10/05 en marge matin a apritr de 10h \"
"IQPFTH","296251243","22795357","","DMS","/DMS/#PTO_non existante#/Pose 30m 1fo mutation sur PB 999227 tube Jones fibre jaune Pose jrt pm porte droite slot 2 B10 decharge A654230 vous vie avec moufida de astrologie pour valider le l intervention Pto OK Ont ok /DAE KO/Vais avec Moufida dstgp Pto OK Ont ok","","\"
"IQPFTH","296144393","22795360","","DMS","/DMS/#PTO_non existante#/Pavillon aero pose pto ont test OK installation conforme /DAE OK/","","\\$gm$obtenu client sur son tel le 02/05 rdv repris le 05/05 10h/12h//\"
"IQLFTH","229003754","22795361","","DMS","/DMS/#PTO_non existante#/1 fo blanc 30m /DAE OK/","","\"
"IQPFTH","299201855","22795370","","DMS","/DMS/#PTO_non existante#/Mise en service 200m en aerien +30m sur la fa ade pose pto test delc ok /DAE OK/","","\"
"IQPFTH","297702491","22795373","","DMS","/DMS/#PTO_non existante#/Installation FTTH pavillon en aerien sur 90 m ok /DAE OK/","","\"
"IQLFTH","296142912","22795381","","RMF","pas de contact client pour fixer//","","\"
"IQSFTH","297464558","22795382","","DMS","/DMS/#PTO_existante#-#Malfacon PLP non detectee#-/Plp pk Decharge J715310/DAE OK/","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\"
"IQCFTH","299145181","22795394","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Changement d op rateur /DAE OK/","","\"
"IQPFTH","297693231","22728267","","TVC","$GM$ CP Envoye sms pour reprendre nouveau RDV des TVC fini $APAB$ /GEM//GEM TVC regard a rechercher en partit privative /DAE NA/Non eligible au DAE// suite mail Orange du 27/04 client annule sa commande","Merci de cleturer le rendez vous du client car il a annulsa commande   ","\\$GM$ CP Envoye sms pour reprendre nouveau RDV des TVC fini $APAB$  /GEM/#LITIGE: DR-Probleme de Regard#/GEM TVC regard a rechercher en partit privative /DAE NA/Non eligible au DAE\\"
"IQPFTH","297705408","22795398","","DMS","/DMS/#PTO_non existante#/Raccordement pavillon ok. Passage du cable en aerien.80 metres du cable. PTO installee dans le salon a la demande du client. Valeur PTO-19 valeur PM-18. Test delec FTTH Ok. Ras/DAE OK/","","\"
"IQPFTH","297810383","22795408","","DMS","/DMS/#PTO_non existante#/Farid ok 1fo 150m passage de c cble en aerosouterrain  pto posee dans le salon a la demande de client  Val pm-18  Val pto-20  position au pm S03/L10  vu avec Ahmed CQE Ok/DAE OK/","","\"
"IQPFTH","296947091","22795411","","DMS","/DMS/#PTO_non existante#/Pose PTO passage 30 metres c cble 1 fo pose jartierre a la PM et mise en service /DAE OK/","","\"
"IQPFTH","296942811","22795414","","DMS","/DMS/#PTO_non existante#/Viviane.pasco@gmail.com 80 mt pose prise optique dans chambre Dlc ok/DAE OK/","","\"
"IQLFTH","223282478","22728285","","","","$annule otomate #549$",""
"IQPFTH","296615272","22795420","","DMS","/DMS/#PTO_non existante#/150 metre de c cble pose pto dlec ok/DAE OK/","","\"
"IQLFTH","297086514","22795426","","DMS","/DMS/#PTO_non existante#/Raccordement client ok pose PTO ok route obtique ok tictage ok delc ok /DAE OK/","","\\$GM$ impossible de laisser mevo le 02/05 pour reprendre rdv $APAF$  /GEM/#LITIGE: AB-Client absent#/Le client est absent /DAE NA/Non eligible au DAE\"
"IQPFTH","296941662","22795428","","DMS","/DMS/#PTO_non existante#/Pose PTO Tire 100m de 1fo pavillon aerien /DAE OK/","","\\$gm$ obtenu cliente sur son tel le 03/05 rdv repris le 05/05 13h//\$gm$laisse mevo pour fixer rdv//\$gm$obtenu cliente 09/05 rdv repris le 11/05 matin//\"
"IQPFTH","297705416","22795432","","ANN","/ANN-CLI//ANN//J ai appele au client d mon arriv e sur place   il m a dit que j ai annul ma commande et j ai renvoy tout le mat riel./DAE NA/Non ligible au DAE","","\\"
"IQPFTH","298751872","22795433","","DMS","/DMS/#PTO_non existante#/Adduction souterraine emplacement pto plus chemin de c cble vus avec le client /DAE OK/","","\"
"IQPFTH","298533505","22795438","","DMS","/DMS/#PTO_non existante#/Passer jrt au pm Pose 1portee c ? cble 1fo Pose pto/DAE KO/Puissance -19 au pto","","\"
"IQCFTH","229003990","22795443","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Pose jrt au pmz PLP PB 965 tube Vert fibre verte Position actuelle PMZ porte droite slot 1 B09 Numero prise optique FI-7443-6538 Numero decharge J826764 Tout ok chez client /DAE OK/","","\"
"IQPFTH","296504140","22728316","","DMS","/DMS/#PTO_non existante#/Passage de cable aerien Au choix du client pose pto salon brassage pm test ok /DAE OK/","","\\$GM$ LO / rdv pris par ccoi le 20/04 a partir de 14h $apaf$ \$GM$ CP Laisse mevo le 21/04  pour reprendre nouveau RDV des TVC fini  $APSM$ Le client souhaite faire passer une gaine et il reprendra rdv\$GM$ Obtenu M. Jaouen au 00676395656  le 24/04 a 15h38   repris RDV le 28/04 entre 10h   14h / $APTE$\$GM$ client obtenu le 27/04/2023  RDV confirme le 29/04/2023 a partir de 12h ke \"
"IQPFTH","297086516","22795446","","DMS","/DMS/#PTO_non existante#/Intervention ok   passage de c cble en aero souterrain pto au salon vu avec le client (Problemes avec mobi photos ins r e en pieces jointes ) /DAE OK/","","\"
"IQSFTH","223467991","22795449","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Plp ok/DAE OK/","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\"
"IQPFTH","297242818","22795451","","DMS","/DMS/#PTO_non existante#/Raccordement aerien  200 m de cables. Le client a la prise optique la o il la souhaite./DAE OK/","","\"
"IQCFTH","223449189","22795459","","DMS","/DMS/#PTO_existante#-#Malfacon PLP non detectee#-/PB 8702 tube violet tiret 3 fibre jaune au 1eme etages FI-9495-0417 Decharge J715149 PLP immeubles delc ok branchement de la jarretiere au PM installation conforme appartement client au 1eme etages /DAE OK/","","\"
"IQPFTH","297780457","22795464","","DMS","/DMS/#PTO_non existante#/100m de c cble aerien Pto dans salon Delc ok/DAE OK/","","\\$GM$ client injoignable  message vocal  laisse  le 27/04/2023 pour reprendre RDV le 02/05/2023 Ke. \$GM$ Suite appel client le 28/04 15h20  pris RDV le 03/05 entre 10 et 14h $APMJ$\$GM$ Le tech a repris rdv avec le client pour le 10/05 a partir de 10H $APAF$  Suite une appel telephonique avec le client RDV rpr par le technicien   le mercredi 10/5 a partir de 10h00  intervention bosoin de nacelle  Oblige de nacelle \"
"IQPFTH","299349705","22795466","","DMS","/DMS/#PTO_non existante#/Raccordement ok passage de cable en aerien ok test delc ok /DAE OK/","","\"
"IQPFTH","296418214","22795469","","DMS","/DMS/#PTO_non existante#/Installation complete ok construction de prise pto passage du c cble en aerien tout fonctionne bien /DAE OK/","","\"
"IQPFTH","223468481","22795470","","DMS","/DMS/#PTO_non existante#/Installation aerien ok PTO pos dans le bureau a la demande de client /DAE OK/","","\"
"IQCFTH","297897802","22795471","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/PLP delc OK /DAE OK/","","\"
"IQPFTH","223447109","22728346","","DMS","/DMS/#PTO_non existante#/Intervention OK passage de c cble 100 m souterrain la prise de a c te de l armoire lectrique la demande des clients/DAE OK/","","\"
"IQPFTH","223468485","22795488","","DMS","/DMS/#PTO_non existante#/Installation aerienne ok test e ok. PTo non fixe a la demande du client suite a chantier en cours./DAE OK/","","\"
"IQSFTH","299142684","22795489","","DMS","Plp conforme tout est fonctionnel chez le client","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\"
"IQPFTH","297705534","22795493","","DMS","/DMS/#PTO_non existante#/Installation complete ok Pto pose ok /DAE OK/","","\"
"IQPFTH","223513567","22795494","","DMS","/DMS/#PTO_non existante#/Pose 200m de c cble 1 fo en aerien +pose pto delc ok vu clt/DAE OK/","","\"
"IQPFTH","299202774","22795510","","DMS","/DMS/#PTO_non existante#/Ont ok pto ok test ok 90m aerien/DAE OK/","","\\$GM$ Le tech a repris rdv avec le client pour le 05/05 a partir de 13H  $APAF$  Rendez vous repris pour vendredi a partir de 13h appeller le client 15 minutes avant d'arriver il n'ai pas sur place \Rendez-vous repris pour le mercredi 10 a partir de 8h appeler le client un quart d'heure avant pour qu'il soit sur place\"
"IQPFTH","296145061","22795514","","ANN","/ANN-CLI/suite appel prealable client a annule sa commande fibre pour autre operateur//","","\\"
"IQPFTH","299142103","22795526","","DMS","/DMS/#PTO_non existante#/Installation aerien ok PTO pos dans le compteur lectrique a la demande du client /DAE OK/","","\"
"IQPFTH","297705539","22795530","","","","",""
"IQPFTH","298195293","22795531","","DMS","/DMS/#PTO_non existante#/passage en aerien client ok /DAE OK/","","\\$GM$ RV Obtenu client le 04/05 a 15h18 depuis le 0658096007. Rdv repris pour le 10/05 a partir de 14h suite SMS recu par le client pous annulation. $APSP$\$GM$ LO Obtenu client le 04/05 a 15h18 depuis le 0658096007. Rdv repris pour le 10/05 a partir de 14h suite SMS recu par le client pous annulation. $APSP$\"
"IQPFTH","299887387","22795537","","DMS","/DMS/#PTO_non existante#/Passage du c cble en souterrain Test Delc ok Nouvelle route PB 316 tube jaune fibre jaune Decharge (J754399)/DAE OK/","","\\/GEM/#LITIGE: MC-Besoin binome ou materiel#/J'ai fait toute l'installation mais il faut que j'appelle la JTC pour faire la mutation Rendez vous repris le samedi 29/04 a 14h/DAE NA/Non   ligible au DAE\"
"IQPFTH","298195434","22795544","","DMS","/DMS/#PTO_non existante#/Tirage de c cble 100m pose pt tout est ok /DAE OK/","","\"
"IQPFTH","296851912","22795551","","DMS","/DMS/#PTO_non existante#/Passage de cable aerien installation complete ok pose pto salon au choix du client brassage pm test ok /DAE OK/","","\$GM$ client injoignable  message laisse  le 02/05/2023 pour pour reperdre un nouveau rdv a partir de 04/05/2023   Ke. \$GM$ client injoignable  message laisse  le 03/05/2023 pour pour reperdre un nouveau rdv a partir de 08/05/2023   Ke. \$GM$ client obtenu le 05/05/2023  RDV confirme le 09/05/2023 a partir de 8h ke (l'Enterprise sera ferme le 08/05 jour ferie)\"
"IQPFTH","298193780","22795555","","DMS","/DMS/#PTO_non existante#/Pose 160m 1fo +pto test ok /DAE OK/","","\"
"IQCFTH","223512464","22795557","","DMS","/DMS/#PTO_existante#-#Malfa on moleacristi25@gmail.com non detect e#-/Dossie PLP cliens mais en service photo sur. Croic car la PTO SFR photos sur JP /DAE OK/","","\"
"IQPFTH","299142342","22795579","","DMS","/DMS/#PTO_non existante#/Installation aerienne ok test e ok /DAE OK/","","\"
"IQCFTH","299349951","22795588","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Raccordement plp test DelC ok /DAE OK/","","\"
"IQPFTH","223087798","22795592","","DMS","/DMS/#PTO_non existante#/Pose PTO ok Mise en service OK /DAE OK/","","\"
"IQCFTH","223449332","22795593","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/DAE OK/","","\"
"IQPFTH","297892302","22795608","","DMS","/DMS/#PTO_non existante#/Passage de c cbles en aerien puis en apparent Pto au salon vu avec le client /DAE OK/","","\"
"IQPFTH","298195532","22795621","","DMS","/DMS/#PTO_non existante#/DAE OK/ Technicien issam intervention aerienne CLEINT ok ont ok","","\"
"IQPFTH","296401644","22795636","","ORT","Cable transport entre pm pb couper code decharge FI073HM","","\\"
"IQPFTH","298195542","22795651","","DMS","/DMS/#PTO_non existante#/DAE OK/ Technicien issam intervention aerienne CLEINT ok ont ok","","\"
"IQPFTH","298195092","22795662","","DMS","/DMS/#PTO_non existante#/Pavillon souterrain 70m /DAE OK/","","\"
"IQPFTH","296507113","22795663","","DMS","Pose jrt pmz+75m fibre+pose pto Delc ok Mobi hs","","\"
"IQSFTH","299142941","22795666","","DMS","/DMS/#PTO_existante#-#Malfa on PLP detect e#-#Cheminement#-/Intervention ok changement de jarretiere au niveau de pm.code d charge J796859..ok/DAE OK/","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\"
"IQPFTH","298195472","22795672","","DMS","/DMS/#PTO_non existante#/Passer jrt au pm Pose 2 portee c cble 1fo Pose pto /DAE OK/","","\"
"IQPFTH","297457656","22795675","","DMS","/DMS/#PTO_non existante#/Racc sout ok APIE OK ras/DAE OK/","","\"
"IQPFTH","299200020","22795681","","DMS","/DMS/#PTO_non existante#/Facade 70m Delc ok Decharge j723184 PB 1371 tube rouge fibre violet /DAE OK/","","\"
"IQPFTH","299552985","22728555","","DMS","/DMS/#PTO_non existante#/Installation complete pavillon en souterrain passage de c cble en fa ade OK Bug crioc photos en pi ces jointes ok box operationnel chek ko interventions Orange sur le pb 999388 couper tout le tube rouge dans le voisin perturb  /DAE KO/Xxx","","\"
"IQPFTH","298702452","22795684","","ANN","/ANN-CLI/annulation de commande","","\\$GM$ INTERVENTION EN COURS\$GM$ CP  laisse  mevo  au 0645068784 le  29/04 a 18h30 pour reprendre nouveau RDV des TVC fini / $APAF$   /GEM/#LITIGE: DD-Deplacer l'arriv  e int  rieure#/L'arriv  e int  rieur est introuvable ou dernier le placo le client doit la d  gager /DAE NA/Non   ligible au DAE\\"
"IQPFTH","297706618","22795691","","DMS","/DMS/#PTO_non existante#/Installation ftth pavillon en aerien sur 90 m ok/DAE OK/","","\\$GM$INTERVENTION A SOLDER \"
"IQPFTH","298195476","22795696","","DMS","/DMS/#PTO_non existante#/Passer jrt au pm Pose 2portees c cble 1fo Pose pto /DAE OK/","","\"
"IQPFTH","297938520","22795706","","DMS","/DMS/#PTO_non existante#/apcpok /DAE OK/","","\\$GM$ AB / rdv pris par ccoi le 09/05 a 14h $apaf$   /GEM/#LITIGE: AB-Client absent#/Client absence /DAE NA/Non eligible au DAE\"
"IQCFTH","298741656","22795707","","DMS","/DMS/#PTO_existante#-/Tout est fonctions chez le client signal -21 plp ok/DAE ok","","\\$GM$ LO  Laisse MEVO au  0659045199 le  29/04 a 15H16 pour reprendre nouveau RDV / $APAF$ technicien absent client injoignable pour reprendre rdv \$GM$Obtenu clt le 04/05 au  0659045199  appel pour proposer rdv le 08/05 clt pas disponible  repris rdv le 11/05 a partir de 10h $APAN$ \$GM$ INTERVENTION EN COURS\"
"IQSFTH","299143084","22795710","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Plp ok/DAE OK/","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\"
