tech_filename,tech_timestamp_chargement,objectid_pf,objectid_site_pf,nom_pf,type_pf,etat_physique,nom_nro,etat_prod,nom_site,nom_type_site,numero_ds_voie,complement_num,nom_rue,nom_commune,code_rivoli,code_postale,code_commune,no_departement,nom_departement,region,adr_normal_sissi,objectid_pt,nom_pt,objectid_nra,batiment,etage
ref_ipo_adresses_pf_oi_20230530_1842.csv.gz,30/05/2023 21:06:12,9.15378E+18,9.14904E+18,PB 00004,PB,,NRA 001,Déployé,AR/Modèles_G2R,Armoire,1,,r.witbe,Ville_Witbe,00000,00000,00000,00,Province_Witbe,Region_witbe,"28, Z, Chemin du Vieux Chêne, 38229, Meylan",,,,,
ref_ipo_adresses_pf_oi_20230530_1842.csv.gz,30/05/2023 21:06:19,9.15533E+18,8.08056E+18,PA 00002,PA,,NRA 001,,CH/25252,Chambre,2,,r.witbe,Ville_Witbe,00000,00000,00000,00,Province_Witbe,Region_witbe,,9.15533E+18,PT 000021,8.08043E+18,,
ref_ipo_adresses_pf_oi_20230530_1842.csv.gz,30/05/2023 21:06:19,9.15537E+18,8.08056E+18,PA 00003,PA,,NRA 001,,CH/25252,Chambre,2,,r.witbe,Ville_Witbe,00000,00000,00000,00,Province_Witbe,Region_witbe,,9.14497E+18,PT 000010,8.08043E+18,,
ref_ipo_adresses_pf_oi_20230530_1842.csv.gz,30/05/2023 21:10:55,9.15221E+18,9.13852E+18,PB 02444,PB,,NRA BRE,Déployé,IMB/01053/C/0557,Site Client,6,,R  . Palais,BOURG EN BRESSE,2880,01000,01053,01,AIN,LYON,"6, RUE DU PALAIS, 01053, BOURG-EN-BRESSE",9.15221E+18,PT 002974,9.13231E+18,,
ref_ipo_adresses_pf_oi_20230530_1842.csv.gz,30/05/2023 21:10:13,9.14316E+18,9.14116E+18,PB 00945,PB,,NRA BRE,Déployé,IMB/01053/C/02AF,Site Client,1,,R  . Gén Debeney,BOURG EN BRESSE,1640,01000,01053,01,AIN,LYON,"1, RUE GÉNÉRAL DEBENEY, 01053, BOURG EN BRESSE",9.14316E+18,PT 001348,9.13231E+18,EUROPE,3
ref_ipo_adresses_pf_oi_20230530_1842.csv.gz,30/05/2023 21:09:58,9.14453E+18,9.14575E+18,PB 01479,PB,,NRA BRE,Déployé,IMB/01053/X/06EK,Site Client,4,,R  . Auguste Renoir,BOURG EN BRESSE,0321,01000,01053,01,AIN,LYON,"4, RUE AUGUSTE RENOIR, 01053, BOURG EN BRESSE",9.14449E+18,PT 001891,9.13231E+18,A,0
ref_ipo_adresses_pf_oi_20230530_1842.csv.gz,30/05/2023 21:09:32,9.14273E+18,9.14245E+18,PB 00222,PB,,NRA BPB,Déployé,IMB/01053/C/032A,Site Client,2,,ALL. 1er Mai,BOURG EN BRESSE,3183,01000,01053,01,AIN,LYON,"2, ALLÉE DU 1ER MAI, 01053, BOURG-EN-BRESSE",9.14273E+18,PT 000357,9.1357E+18,DOM DU STAND 5,2
ref_ipo_adresses_pf_oi_20230530_1842.csv.gz,30/05/2023 21:06:21,9.1454E+18,9.14539E+18,PB 00729,PB,,NRA BPB,Déployé,CH/00364,Chambre,9,B,R  . Citadelle,BOURG EN BRESSE,0910,01000,01053,01,AIN,LYON,"9, B, Rue de la Citadelle, 01053, BOURG EN BRESSE",9.1454E+18,PT 000891,9.1357E+18,,
ref_ipo_adresses_pf_oi_20230530_1842.csv.gz,30/05/2023 21:09:37,9.16547E+18,9.16076E+18,PB 02995,PB,,NRA BRE,Déployé,IMB/01053/X/06V8,Site Client,1,,ALL. MARCELLE ROZET COURTINE,BOURG EN BRESSE,001A,01000,01053,01,AIN,LYON,"1, ALLÉE MARCELLE ROZET COURTINE, 01053, BOURG-EN-",9.16546E+18,PT 003647,9.13231E+18,06V8,0
ref_ipo_adresses_pf_oi_20230530_1842.csv.gz,30/05/2023 21:07:44,9.15124E+18,9.14925E+18,PB 02365,PB,,NRA BRE,Déployé,IMB/01053/C/03RF,Site Client,13,,R  . Peupliers,BOURG EN BRESSE,3060,01000,01053,01,AIN,LYON,"13, RUE DES PEUPLIERS, 01053, BOURG-EN-BRESSE",9.15124E+18,PT 002888,9.13231E+18,,3
