"CODE INTERVENTION","No DESIGNATION","No INTERVENTION","COMMENTAIRE DE SIG","CENTRE","ZONE","REFINT","ETATPIDICOMP","DTPASSPIDICOMP","HEUREPASSPIDICOMP","DTETATPIDICOMP","HEURETATPIDICOMP","DTPREMPLG","HRPREMPLG","FTTH_IMM_OP","FTTH_TYPE_RAC","FTTH_TYPE_SITE","FTTH_ADDUCTABILITE","LIBMATFTTH","REMMATFTTH","REFOCEANE","DISPOSITIF_SPX"
"IQPFTH","297685650","22774472","","AZN","0","47033769","TA","4/15/2023","11:50","4/15/2023","11:50","5/23/2023","13:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5\DECODEUR_1:Decodeur TV UHD","Livraison a domicile\Deja detenu","",""
"IQLFTH","298076021","22827836","","BRN","706","47296445","TA\TC","09/05/2023\12/05/2023","14:46\18:13","09/05/2023\12/05/2023","14:46\18:13","5/15/2023","13:00","FT","mono-fibre","Immeuble","","LIVEBOX:Livebox 5\DECODEUR_1:Decodeur TV UHD","Livraison en point relais\Livraison en point relais","",""
"IQPFTH","299173098","22819427","","BIL","1","47255733","","","","","","6/5/2023","13:00","","","","","","","",""
"IQPFTH","296506761","22763534","","HAL","5","46982549","TA\TC\TR","22/04/2023\09/05/2023\10/05/2023","18:50\18:22\10:04","22/04/2023\09/05/2023\10/05/2023","18:50\18:22\10:04","5/9/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5","Livraison en point relais","",""
"IQLFTH","298194265","22781269","","LER","1","47065949","TA","4/19/2023","13:53","4/19/2023","13:53","5/10/2023","13:00","THDB","mono-fibre","Immeuble","1 - aise","LIVEBOX:Livebox 5\DECODEUR_1:Decodeur TV UHD","Livraison en point relais\Livraison en point relais","",""
"IQPFTH","297706364","22841236","","PLM","23","47366715","","","","","","6/1/2023","13:00","","","","","","","",""
"IQPFTH","296148493","22787098","","BEG","5","47093532","TA\TC\TR","20/04/2023\06/05/2023\09/05/2023","08:05\11:43\10:49","20/04/2023\06/05/2023\09/05/2023","08:05\11:43\10:49","5/9/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","DECODEUR_1:Decodeur TV UHD","Deja detenu","",""
"IQPFTH","296463550","22819428","","CAC","3","47255735","TA","5/5/2023","8:05","5/5/2023","8:05","5/24/2023","13:00","THDB","mono-fibre","Maison individuelle","1 - aise","DECODEUR_1:Decodeur TV UHD","Deja detenu","",""
"IQPFTH","296610621","22802291","","PHN","17","47170367","TA\TR","28/04/2023\11/05/2023","08:06\14:50","28/04/2023\11/05/2023","08:06\14:50","5/12/2023","13:00","THDB","mono-fibre","Maison individuelle","1 - aise","","","",""
"IQPFTH","229024038","22841237","","PDZ","2","47366719","","","","","","5/25/2023","13:00","","","","","","","",""
"IQPFTH","296310858","22813889","","PEJ","7","47230127","TA","5/3/2023","9:50","5/3/2023","9:50","5/24/2023","13:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5","Livraison en point relais","",""
"IQPFTH","296130349","22807395","","CAC","3","47195979","TA","4/28/2023","18:53","4/28/2023","18:53","5/22/2023","13:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5\DECODEUR_1:Decodeur TV UHD","Livraison a domicile\Deja detenu","",""
"IQPFTH","296616085","22790286","","PEC","1","47110611","TA","4/29/2023","10:45","4/29/2023","10:45","5/16/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5","Remis au client","",""
"IQPFTH","223372095","22798574","","CGN","2","47153298","TA","4/26/2023","8:06","4/26/2023","8:06","5/16/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","DECODEUR_1:second Decodeur TV UHD\DECODEUR_1:Decodeur TV UHD","Deja detenu\Deja detenu","",""
"IQPFTH","296365878","22810649","","NDP","2","47213058","","","","","","5/25/2023","8:00","","","","","","","",""
"IQPFTH","296145123","22796872","","PRT","0","47144762","TA\TC","25/04/2023\06/05/2023","12:45\14:30","25/04/2023\06/05/2023","12:45\14:30","5/16/2023","13:00","THDB","mono-fibre","Maison individuelle","1 - aise","","","",""
"IQPFTH","299164603","22828103","","DID","5","47298429","TA","5/10/2023","8:07","5/10/2023","8:07","5/31/2023","13:00","THDB","mono-fibre","Maison individuelle","1 - aise","DECODEUR_1:Decodeur TV 4\LIVEBOX:Livebox 5","Deja detenu\Livraison en point relais","",""
"IQPFTH","299000275","22833123","","CGN","0","47324041","TA","5/12/2023","8:06","5/12/2023","8:06","5/19/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","","","",""
"IQPFTH","223301434","22770935","","MDB","4","47016710","TA","4/19/2023","20:51","4/19/2023","20:51","5/17/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5\DECODEUR_1:Decodeur TV UHD","Livraison a domicile\Deja detenu","",""
"IQPFTH","297706441","22790287","","MLT","4","47110618","TA","4/21/2023","15:46","4/21/2023","15:46","5/22/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5\DECODEUR_1:Decodeur TV UHD","Livraison en point relais\Deja detenu","",""
"IQPFTH","298195282","22793488","","LER","1","47127692","TA\TC\TR","25/04/2023\04/05/2023\05/05/2023","18:50\17:59\12:14","25/04/2023\04/05/2023\05/05/2023","18:50\17:59\12:14","5/5/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5","Livraison en point relais","",""
"IQPFTH","296851179","22740831","","DIN","13","46871583","TA\TC","01/04/2023\13/05/2023","14:45\10:11","01/04/2023\13/05/2023","14:45\10:11","4/14/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","DECODEUR_1:Decodeur TV UHD","Deja detenu","",""
"IQPFTH","297316626","22738574","","CAN","12","46863046","TA\TC\TR","01/04/2023\28/04/2023\02/05/2023","11:50\18:03\13:52","01/04/2023\28/04/2023\02/05/2023","11:50\18:03\13:52","5/2/2023","13:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5","Livraison en point relais","",""
"IQPFTH","296723799","22815874","","LAN","19","46769139","TA\TC\TR","02/05/2023\04/05/2023\05/05/2023","14:46\18:06\16:01","02/05/2023\04/05/2023\05/05/2023","14:46\18:06\16:01","5/5/2023","13:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5\DECODEUR_1:Decodeur TV UHD","Livraison a domicile\Deja detenu","",""
"IQPFTH","296614213","22839555","","PEC","0","47358199","","","","","","5/29/2023","8:00","","","","","","","",""
"IQPFTH","297890939","22842966","","PLO","18","46658165","TA","5/13/2023","11:50","5/13/2023","11:50","5/16/2023","8:00","FT","mono-fibre","Maison individuelle","1 - aise","","","",""
"IQPFTH","297495232","22838203","","CPO","0","47349663","TA","5/13/2023","8:05","5/13/2023","8:05","5/23/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5","Livraison a domicile","",""
"IQCFTH","298077201","22829214","","BRO","301","47305028","TA\TC","09/05/2023\12/05/2023","17:45\18:17","09/05/2023\12/05/2023","17:45\18:17","5/15/2023","15:30","FT","mono-fibre","Immeuble","","LIVEBOX:Livebox 4","Deja detenu","",""
"IQPFTH","297786710","22836163","","LTC","59","47341126","TA","5/11/2023","8:05","5/11/2023","8:05","5/31/2023","8:00","FT","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5\DECODEUR_1:Decodeur TV UHD","Deja detenu\Deja detenu","",""
"IQPFTH","298197169","22838204","","LER","2","47349664","TA","5/13/2023","13:50","5/13/2023","13:50","5/19/2023","8:30","THDB","mono-fibre","Maison individuelle","1 - aise","","","",""
"IQPFTH","296942617","22831762","","QIN","21","47315519","TA","5/10/2023","8:05","5/10/2023","8:05","5/23/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","","","",""
"IQPFTH","299772686","22815592","","MDB","5","47238690","TA\TC\TR","04/05/2023\10/05/2023\11/05/2023","08:07\17:46\14:55","04/05/2023\10/05/2023\11/05/2023","08:07\17:46\14:55","5/11/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5","Livraison en point relais","",""
"IQPFTH","223631916","22828106","","RE7","58","47298451","TA","5/12/2023","5:21","5/12/2023","5:21","6/5/2023","13:00","FIBRE44 (FI44)","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5","Livraison a domicile","",""
"IQLFTH","297701812","22820601","","PLM","20","47262335","","","","","","6/7/2023","15:00","","","","","","","",""
"IQPFTH","297787025","22831763","","BRD","10","47315530","TA","5/11/2023","8:05","5/11/2023","8:05","6/7/2023","13:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5\DECODEUR_1:second Decodeur TV UHD\DECODEUR_1:Decodeur TV UHD","Livraison en point relais\Livraison en point relais\Deja detenu","",""
"IQSFTH","299051864","22842625","","MAL","56","47373985","","","","","","5/20/2023","13:00","","","","","","","",""
"IQPFTH","297750413","22838207","","PLM","4","47349681","","","","","","5/30/2023","13:00","","","","","","","",""
"IQPFTH","296506187","22788439","","PEJ","7","47102109","TA\TC","20/04/2023\13/05/2023","12:45\10:11","20/04/2023\13/05/2023","12:45\10:11","5/15/2023","13:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5\DECODEUR_1:Decodeur TV UHD","Remis au client\Deja detenu","",""
"IQPFTH","297784669","22819441","","GRX","5","47255775","TA","5/4/2023","13:51","5/4/2023","13:51","6/14/2023","13:00","FT","mono-fibre","Maison individuelle","1 - aise","DECODEUR_1:Decodeur TV UHD\LIVEBOX:Livebox 5","Livraison a domicile\Livraison a domicile","",""
"IQCFTH","299146962","22834671","","VIL","227","47330659","TA","5/13/2023","12:45","5/13/2023","12:45","5/16/2023","8:00","FT","quadri-fibre","Immeuble","","","","",""
"IQPFTH","299174507","22751426","","BIL","2","46922833","","","","","","5/31/2023","13:00","","","","","","","",""
"IQPFTH","296671006","22838208","","MDC","0","47349686","TA","5/13/2023","8:05","5/13/2023","8:05","5/31/2023","13:00","THDB","mono-fibre","Maison individuelle","1 - aise","DECODEUR_1:Decodeur TV UHD","Livraison a domicile","",""
"IQPFTH","297220218","22608065","","GER","0","46180118","TA","2/13/2023","8:05","2/13/2023","8:05","3/17/2023","13:00","THDB","mono-fibre","Maison individuelle","1 - aise","","","",""
"IQPFTH","297896553","22802298","","BRD","10","47170411","TA","5/6/2023","12:55","5/6/2023","12:55","5/24/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5","Livraison en point relais","",""
"IQSFTH","299146950","22842637","","VIL","260","47373995","","","","","","5/22/2023","10:00","","","","","","","",""
"IQPFTH","299142546","22826427","","MOS","2","47289931","TA","5/10/2023","8:05","5/10/2023","8:05","5/16/2023","8:30","SFR FTTH (SFOR)","mono-fibre","Maison individuelle","1 - aise","DECODEUR_1:Decodeur TV UHD","Livraison en point relais","",""
"IQPFTH","298196528","22838209","","LND","0","47349690","TA","5/13/2023","8:05","5/13/2023","8:05","5/24/2023","13:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5\DECODEUR_1:Decodeur TV UHD","Livraison a domicile\Deja detenu","",""
"IQPFTH","297787154","22833132","","PVR","0","47324082","TA","5/12/2023","8:06","5/12/2023","8:06","5/25/2023","13:00","THDB","mono-fibre","Maison individuelle","1 - aise","DECODEUR_1:Decodeur TV UHD","Livraison en point relais","",""
"IQPFTH","297651453","22842880","","KV2","7","47375305","","","","","","6/5/2023","13:00","","","","","","","",""
"IQCFTH","299782048","22801964","","CIN","0","47168467","TA","5/12/2023","10:46","5/12/2023","10:46","5/9/2023","15:00","SFR FTTH (SFOR)","mono-fibre","Maison individuelle","1 - aise","DECODEUR_1:Decodeur TV UHD","Livraison en point relais","",""
"IQPFTH","298340873","22826428","","PDZ","0","47289935","TA","5/6/2023","13:00","5/6/2023","13:00","5/19/2023","13:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5\DECODEUR_1:Decodeur TV UHD","Remis au client\Deja detenu","",""
"IQPFTH","223633762","22817389","","RED","9","47247254","TA\TC\TR","03/05/2023\09/05/2023\10/05/2023","09:55\17:17\11:39","03/05/2023\09/05/2023\10/05/2023","09:55\17:17\11:39","5/10/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5","Remis au client","",""
"IQPFTH","298520917","22820894","","SCA","8","47264329","TA","5/5/2023","8:08","5/5/2023","8:08","5/23/2023","8:30","THDB","mono-fibre","Maison individuelle","1 - aise","","","",""
"IQPFTH","299624943","22680763","","CGN","14","46572833","TA\TC\TR\TR","10/03/2023\06/04/2023\07/04/2023\10/05/2023","08:06\21:58\11:05\10:00","10/03/2023\06/04/2023\07/04/2023\10/05/2023","08:06\21:58\11:05\10:00","4/7/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5\DECODEUR_1:Decodeur TV UHD","Livraison en point relais\Deja detenu","",""
"IQPFTH","299149318","22836169","","SDB","1","47341168","TA","5/12/2023","12:51","5/12/2023","12:51","5/19/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5","Livraison a domicile","",""
"IQPFTH","298522675","22817390","","SCA","8","47247262","TA","5/4/2023","11:50","5/4/2023","11:50","5/19/2023","8:30","THDB","mono-fibre","Maison individuelle","1 - aise","DECODEUR_1:Decodeur TV UHD","Livraison en point relais","",""
"IQPFTH","298675352","22827990","","LNM","0","46632598","TA","5/6/2023","11:52","5/6/2023","11:52","5/16/2023","13:00","THDB","mono-fibre","Maison individuelle","1 - aise","DECODEUR_1:Decodeur TV UHD","Remis au client","",""
"IQPFTH","297784122","22812350","","PVR","0","47221651","TA","5/11/2023","8:05","5/11/2023","8:05","5/25/2023","8:30","THDB","mono-fibre","Maison individuelle","1 - aise","","","",""
"IQPFTH","298196877","22833135","","PEZ","12","47324095","TA","5/12/2023","8:06","5/12/2023","8:06","5/17/2023","13:00","THDB","mono-fibre","Maison individuelle","1 - aise","","","",""
"IQPFTH","296615851","22834995","","LAN","2","47332633","TA","5/12/2023","15:46","5/12/2023","15:46","5/24/2023","8:30","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5","Livraison en point relais","",""
"IQPFTH","298935186","22819445","","KOF","0","47255800","TA","5/5/2023","8:05","5/5/2023","8:05","5/24/2023","13:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5\DECODEUR_1:second Decodeur TV UHD\DECODEUR_1:Decodeur TV UHD","Livraison en point relais\Deja detenu\Deja detenu","",""
"IQPFTH","297786357","22815594","","PVR","0","47238727","TA","5/10/2023","12:46","5/10/2023","12:46","5/26/2023","8:30","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5\DECODEUR_1:Decodeur TV UHD","Livraison en point relais\Deja detenu","",""
"IQPFTH","297136968","22802300","","STN","4","47170436","TA\TC\TR\TR","25/04/2023\09/05/2023\10/05/2023\11/05/2023","18:50\14:59\18:23\08:05","25/04/2023\09/05/2023\10/05/2023\11/05/2023","18:50\14:59\18:23\08:05","5/10/2023","13:00","FT","mono-fibre","Maison individuelle","1 - aise","","","",""
"IQPFTH","296465928","22805431","","CAC","1","47187511","TA","4/28/2023","8:06","4/28/2023","8:06","5/16/2023","8:30","THDB","mono-fibre","Maison individuelle","1 - aise","DECODEUR_1:second Decodeur TV UHD\DECODEUR_1:Decodeur TV UHD","Deja detenu\Deja detenu","",""
"IQPFTH","296508410","22765583","","HAL","5","46991162","TA\TC\TR","22/04/2023\11/05/2023\13/05/2023","16:45\17:19\08:41","22/04/2023\11/05/2023\13/05/2023","16:45\17:19\08:41","5/12/2023","13:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5\DECODEUR_1:Decodeur TV UHD","Livraison en point relais\Deja detenu","",""
"IQLFTH","297706374","22817082","","PLM","20","47245303","","","","","","6/1/2023","8:00","","","","","","","",""
"IQCFTH","297662985","22823967","","LOC","6","47279472","TA\TC","06/05/2023\13/05/2023","08:06\09:12","06/05/2023\13/05/2023","08:06\09:12","5/15/2023","13:00","THDB","mono-fibre","Immeuble","1 - aise","LIVEBOX:Livebox 5","Livraison en point relais","",""
"IQPFTH","297481498","22841248","","ROT","5","47366793","","","","","","6/1/2023","13:00","","","","","","","",""
"IQPFTH","223442136","22842883","","CSS","0","47375331","","","","","","6/7/2023","13:00","","","","","","","",""
"IQPFTH","299711925","22778112","","2NG","20","47050926","TA\TC\TR","18/04/2023\05/05/2023\06/05/2023","06:55\19:35\14:46","18/04/2023\05/05/2023\06/05/2023","06:55\19:35\14:46","4/18/2023","8:00","FIBRE44 (FI44)","mono-fibre","Maison individuelle","1 - aise","DECODEUR_1:Decodeur TV UHD","Livraison en point relais","",""
"IQLFTH","299145955","22827846","","PAJ","5","47296530","TA\TC\TR","06/05/2023\11/05/2023\12/05/2023","10:45\16:22\10:48","06/05/2023\11/05/2023\12/05/2023","10:45\16:22\10:48","5/12/2023","10:00","FT","mono-fibre","Immeuble","","DECODEUR_1:Decodeur TV UHD","Remis au client","",""
"IQPFTH","296463522","22841249","","CAV","0","47366797","","","","","","5/26/2023","8:00","","","","","","","",""
"IQPFTH","296473966","22796891","","ROC","2","47144840","TA","5/4/2023","13:51","5/4/2023","13:51","5/22/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5\DECODEUR_1:Decodeur TV UHD","Livraison en point relais\Livraison en point relais","",""
"IQPFTH","296311079","22802306","","PEJ","10","47170452","TA","4/27/2023","8:05","4/27/2023","8:05","6/21/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","DECODEUR_1:Decodeur TV 4","Deja detenu","",""
