"No DESIGNATION","COMMENTAIRE DE SIG","CODE RELEVE","COMMENTAIRE","BLOC NOTE","COMMLITIGEPIDI"
"299568158","","RRC","# Obtenu MARCHAND CHRISTOPHE le 26/04/2023 a 11h22 le client reporte son rdv car n a pas encore termine les TVC # il va contacter orange pour fixer un nouveau rdv #","","\"
"297892193","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Pto existante Brassage au niveau du pm Ont ok/DAE OK/","","\\$GM$ Un rdv a ete repris par le technicien pour le 03/05 a partir de 14h00 $APSP$ \"
"297897767","","DMS","/DMS/#PTO_non existante#/Mohand ok raccordement pavillon en aerien ok pto pose au salon a la demande du client val pm-17 Val pto-18 delc ok /DAE OK/","","\\$GM$ CP Obtenu cliente le 13/04  Le client a bien compris les travaux a realiser et nous recontactera pour reprendre rdv des travaux finis.$APSM$ Poser une gaine entre l'arrivee interieure (pavillon) et l'emplacement souhaite de la prise fibre\$GM$ Obtenu clt le 13/04 au 0647628153 repris rdv le 17/04 a partir de 10h $APIL$\$GM$ CP Obtenu cliente le 17/04  Le client a bien compris les travaux a realiser et nous recontactera pour reprendre rdv des travaux finis.$APSM$ Poser une gaine entre l'arrivee interieure (pavillon) et l'emplacement souhaite de la prise fibre\$GM$ RV//  Obtenu client au 0667541606 le 06/05  a 13:05  RDV repris pour le 08/05 a partir de 14:00  $APHB$\"
"223370510","","DMS","/DMS/#PTO_non existante#/Installation complete pavillon ok passage de cable souterrain ok /DAE OK/","","\"
"299556603","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/PM: t te#1/A03 Decharge : J716230/DAE OK/","","\"
"299001768","","DMS","/DMS/#PTO_non existante#/Installation immeuble complete ok/DAE OK/","","\"
"298301395","","","","",""
"296729387","","DMS","/DMS/#PTO_existante#-#Malfa on PLP non detect e#-/Moby HS le t est et ok le client a teins la boxe route optique ok pas pu faire arriver sur site Moby HS pas pu cl turer aussi /DAE KO/Moby HS","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\"
"298070470","","DMS","/DMS/#PTO_existante#-#Malfa on PLP detect e#-#Cable non conforme#-/Reprise pto voir photo 5 /DAE OK/","PLP non detecte en commande mais suspecte -Si presence PTO  utiliser eMutation pour muter -Si pas de PTO  utiliser eMutation pour creer PTO puis muterSi pas possible appeler Appui a chaud 5.2.1 ou 5.2.1 -Precisez lors de la cloture si PTO a ete trouvee.","\"
"296415177","","PAD","#obtenu PIAN CLAUDINE au 0686849348 le 02/05/2023 a 12:03   le clt doit annuler le rdv car l adresse correct est 122 allee du presbytere 22130 plorec sur arguenon#pas eligible#ND:0296415177#","","\"
"299778795","","DMS","/DMS/#PTO_non existante#/Racc aerien 120m tout service ok pto installer au salon client satisfait /DAE OK/","","\"
